image,title,price,city,district,road,rooms,mrt_line,floor_size
https://urhouse.s3.amazonaws.com/images/rentals/a0e9cab17a035c5ad4c817c25188e195.jpg?31363533373237363432,內湖/三房/空屋,39000,台北市,內湖區,行善路,3,"",39.360000
https://urhouse.s3.amazonaws.com/images/rentals/7aaba5f3511f56128e7130c2973e0503.jpg?31363536343934333933,MRT港墘 超大空間,40000,台北市,內湖區,內湖路一段,1,內湖,28.530000
https://urhouse.s3.amazonaws.com/images/rentals/e608961813ac47bc0cfbcac85dd2147f.jpg?31363436353736353837,MRT小巨蛋/溫馨裝潢/IKEA,39800,台北市,松山區,南京東路四段,2,台北小巨蛋,21.080000
https://urhouse.s3.amazonaws.com/images/rentals/f9d8c6f4d86d8f4ae626834601492846.jpg?31363437353733373235,可寵/山景裝潢/2房車位,38800,台北市,信義區,吳興街,2,台北101/世貿,32.000000
https://urhouse.s3.amazonaws.com/images/rentals/c4896e2b7f31bdb285363d1ef8ce327e.jpg?31363536363538343939,MRT小巨蛋電梯1+1泡湯小豪宅,40000,台北市,松山區,八德路三段,2,台北小巨蛋,13.330000
https://urhouse.s3.amazonaws.com/images/rentals/0eb178c5581f651876fadae5a8980899.jpg?31363435313636323939,近中山國小站.舒適採光空間.可寵,40000,台北市,中山區,中山北路二段,1,中山國小,18.820000
https://urhouse.s3.amazonaws.com/images/rentals/33681279c167c7fcd2997ed72cfb4c4a.jpg?31363532343037343430,MRT松江南京，酒店公寓，適外商,41000,台北市,中山區,松江路,0,松江南京,72.000000
https://urhouse.s3.amazonaws.com/images/rentals/fb4d518989bdeae9784d99c398f86f1f.jpg?31363536363635383732,雙捷大面落地窗雙衛兩房,40000,台北市,中山區,南京東路一段,2,中山,24.280000
https://urhouse.s3.amazonaws.com/images/rentals/3de50263500e3421017469e47e8dd36e.jpg?31363535383837353739,MRT辛亥高樓綠景,42000,台北市,文山區,辛亥路四段,2,辛亥,32.480000
https://urhouse.s3.amazonaws.com/images/rentals/76b9419064e61d1a0a82607b0cbd7fc4.jpg?31363533383834383138,MRT龍山寺/近河濱公園/採光佳,42000,台北市,萬華區,環河南路二段,2,龍山寺（艋舺商圈）,26.790000
https://urhouse.s3.amazonaws.com/images/rentals/1352d2eb517ab94728c89acc30c5e141.jpg?31363535303839333639,MRT南軟,43000,台北市,南港區,重陽路,2,南港軟體園區,23.200000
https://urhouse.s3.amazonaws.com/images/rentals/b3a5a6df0cf1dfc30882b20f8a493092.jpg?31363437383537333436,MRT南京復興/長安八德/敦南,43000,台北市,松山區,八德路二段,2,南京復興,23.410000
https://urhouse.s3.amazonaws.com/attachments/images/old/4865/1.jpg,MRT南京復興面公園高樓採光2房,45000,台北市,中山區,龍江路,2,南京復興,33.010000
